interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,interaction_name_2,evidence,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version
TGFB1_TGFBR1_TGFBR2,TGFb,TGFB1,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,Secreted Signaling,TGFB1 - (TGFBR1+TGFBR2),KEGG: hsa04350,False,TGFB1,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein",growth factor,False,"TGFBR2, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation",Receptors,Act.TGFB;Kinase,,,True,CellChatDB v1
ANGPTL4_CDH5,ANGPTL,ANGPTL4,CDH5,,,,,Secreted Signaling,ANGPTL4 - CDH5,PMID: 30049845,False,ANGPTL4,,"Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein",,,CDH5,,"Cell membrane, Cell junction","Membrane, Transmembrane, Alternative splicing, Glycoprotein, Signal, Reference proteome, Metal-binding, Transmembrane helix, Phosphoprotein, Cell membrane, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Cell junction, Cell adhesion, Repeat",Miscellaneous,CadherinClassic;StructuralAndAdhesion,,,True,CellChatDB v1
ANGPTL4_ITGAV_ITGB3,ANGPTL,ANGPTL4,ITGAV_ITGB3,,,,,Secreted Signaling,ANGPTL4 - (ITGAV+ITGB3),PMID: 30049845,True,ANGPTL4,,"Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein",,,"ITGAV, ITGB3","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell membrane, Cell junction, Postsynaptic cell membrane, Lamellipodium membrane, Cell projection, Synapse","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Cell projection, Disease variant, Phosphoprotein, Postsynaptic cell membrane, Synapse",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
ANGPTL4_ITGA5_ITGB1,ANGPTL,ANGPTL4,ITGA5_ITGB1,,,,,Secreted Signaling,ANGPTL4 - (ITGA5+ITGB1),PMID: 30049845,False,ANGPTL4,,"Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein",,,"ITGA5, ITGB1","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell surface, Membrane, Cell junction, Ruffle membrane, Melanosome, Ruffle, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Endosome, Magnesium, Alternative splicing, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Myogenesis, Ubl conjugation",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
ANGPTL7_PIRB,ANGPTL,ANGPTL7,LILRB3,,,,,Secreted Signaling,ANGPTL7 - PIRB,PMID: 24478758,False,ANGPTL7,,Secreted,"Coiled coil, Secreted, Signal, Reference proteome, Glycoprotein, Disulfide bond, Direct protein sequencing",,,LILRB3,,Cell membrane,"Immunity, Membrane, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, Alternative splicing, Repeat, Adaptive immunity, Glycoprotein",Receptors,IG;LILR,,,,CellChatDB v1
ANGPTL1_PIRB,ANGPTL,ANGPTL1,LILRB3,,,,,Secreted Signaling,ANGPTL1 - PIRB,PMID: 24478758,False,ANGPTL1,,Secreted,"Coiled coil, Secreted, Signal, Reference proteome, Disulfide bond, Glycoprotein",,,LILRB3,,Cell membrane,"Immunity, Membrane, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, Alternative splicing, Repeat, Adaptive immunity, Glycoprotein",Receptors,IG;LILR,,,,CellChatDB v1
ANGPTL2_PIRB,ANGPTL,ANGPTL2,LILRB3,,,,,Secreted Signaling,ANGPTL2 - PIRB,PMID: 24478758,False,ANGPTL2,,Secreted,"Coiled coil, Signal, Reference proteome, Disulfide bond, Secreted, Alternative splicing, 3D-structure, Glycoprotein",,,LILRB3,,Cell membrane,"Immunity, Membrane, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, Alternative splicing, Repeat, Adaptive immunity, Glycoprotein",Receptors,IG;LILR,,,,CellChatDB v1
ANGPTL2_TLR4,ANGPTL,ANGPTL2,TLR4,,,,,Secreted Signaling,ANGPTL2 - TLR4,PMID: 24478758,False,ANGPTL2,,Secreted,"Coiled coil, Signal, Reference proteome, Disulfide bond, Secreted, Alternative splicing, 3D-structure, Glycoprotein",,,TLR4,Toll-like receptor,"Cell membrane, Ruffle, Early endosome, Cell projection","Immunity, Membrane, Leucine-rich repeat, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Cell projection, Signal, Reference proteome, Cell membrane, Innate immunity, Transmembrane helix, Direct protein sequencing, Age-related macular degeneration, 3D-structure, NAD, Inflammatory response, Endosome, Repeat",Receptors,Other_receptors;TOLL,,,,CellChatDB v1
ANGPTL4_CDH11,ANGPTL,ANGPTL4,CDH11,,,,,Secreted Signaling,ANGPTL4 - CDH11,PMID: 30049845,False,ANGPTL4,,"Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein",,,CDH11,,Cell membrane,"Membrane, Intellectual disability, Transmembrane, Alternative splicing, Deafness, Glycoprotein, Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Metal-binding, Transmembrane helix, Phosphoprotein, Cell membrane, Calcium, Cleavage on pair of basic residues, Cell adhesion, Repeat",Miscellaneous,CadherinClassic;StructuralAndAdhesion,,,,CellChatDB v1
ANGPTL2_ITGA5_ITGB1,ANGPTL,ANGPTL2,ITGA5_ITGB1,,,,,Secreted Signaling,ANGPTL2 - (ITGA5+ITGB1),PMID: 24478758,False,ANGPTL2,,Secreted,"Coiled coil, Signal, Reference proteome, Disulfide bond, Secreted, Alternative splicing, 3D-structure, Glycoprotein",,,"ITGA5, ITGB1","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell surface, Membrane, Cell junction, Ruffle membrane, Melanosome, Ruffle, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Endosome, Magnesium, Alternative splicing, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Myogenesis, Ubl conjugation",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
